,prefix,lat,lon,name,category,unique,total
0,aaf,29.650275,-82.34572,Academic Advising Center,admin,343,1684
1,adv,29.648791999999997,-82.359303,Martin H. Levin Advocacy Center,academic,25,261
2,aer,29.643271999999996,-82.3483,Mec. Aerospace Engineering,academic,43,240
3,alf,29.642947999999997,-82.348636,Alfred A. Ring Tennis Pavilion,sports,0,0
4,and,29.651573,-82.341939,Anderson Hall,academic,429,1163
5,ans,29.631292,-82.351768,Animal Science Building,academic,15,84
6,apl,29.646905,-82.343942,Aquatic Products Lab,academic,666,2819
7,arch,29.647656,-82.341748,School of Architecture,academic,581,11727
8,aud,29.648887,-82.34290899999999,University Auditorium,academic,92,259
9,bar,29.643915000000003,-82.344403,Bartram Hall,academic,16,149
10,bcf,29.639509000000004,-82.359952,BioContainment Facility,unknown,0,0
11,bcftr,29.639518,-82.359949,Bio-Containment Facility,academic,3,6
12,ben,29.647961,-82.351393,Tolbert Hall,housing,44,460
13,bgh,29.649216,-82.359055,Bruton-Geer Hall,admin,115,796
14,blk,29.641892,-82.347876,Black Hall,academic,29,383
15,bro,29.646552000000003,-82.342104,Broward Hall,housing,225,2956
16,brt,29.648906,-82.345784,Bryant Space Science Center,academic,524,2649
17,bwc,29.645353999999998,-82.347903,UF bookstore,social,0,0
18,bwcbookstore,29.645256,-82.34770999999999,UF Bookstore,social,290,852
19,bwcg,29.645442,-82.34805300000001,UF Welcome Center,admin,295,849
20,car,29.64903,-82.341675,Carleton Auditorium,academic,90,263
21,cbd,29.652971,-82.342913,Classroom Building 105,academic,53,295
22,cenx,29.643928000000002,-82.34306600000001,Centrex Building,police,5,19
23,che,29.64272,-82.34787299999999,Dept. of Chemical Engineering,academic,53,2302
24,clb,29.650947,-82.344073,Chemistry Lab,academic,220,1206
25,con,29.64635,-82.346664,Constans Theatre,social,315,1549
26,crec,29.639071,-82.368803,Center for Outdoor Rec. & Educ.,sports,20,350
27,cris,29.650129999999997,-82.34160200000001,Criser Hall,admin,109,597
28,crr,29.643859000000003,-82.344859,Carr Hall,academic,17,133
29,cse,29.64821,-82.344387,CISE,academic,561,3345
30,csfl,29.633671999999997,-82.361716,Crops And Soils Field Lab,academic,4,7
31,cwp,29.648189000000002,-82.34849799999999,Lacy R. Chilled Water Plt. CWP2,unknown,1,5
32,dau,29.649895,-82.34497900000001,Dauer Hall,academic,232,561
33,dinefreshfood,29.647025,-82.341302,Fresh Food,social,206,701
34,edb,29.641637,-82.348364,Engineering Design Building,academic,29,109
35,ehs,29.64353,-82.343826,Env. Health and Safety EHS,unknown,38,99
36,elm,29.643476,-82.36618399999999,Elmore Hall,admin,42,139
37,eyn,29.634543,-82.366474,Entomology-Nematology,academic,77,369
38,faa,29.648127000000002,-82.340636,Fine Arts A,academic,130,472
39,fab,29.648118,-82.339764,Fine Arts B,academic,193,598
40,fac,29.647768,-82.340343,Fine Arts C,academic,517,3720
42,fad,29.648372,-82.340171,Fine Arts D,academic,91,357
42,ff,29.638503000000004,-82.357321,Forestry Resource and Conserv. FF1,unknown,36,72
43,ff1,29.638525,-82.35733,Forestry Resource and Conservation,admin,0,0
44,fif,29.63847,-82.361135,Fifield Hall,academic,101,437
45,flg,29.649463,-82.34729399999999,Florida Gym,sports,337,1508
46,fli,29.651575,-82.34385,Keene-Flint Hall,academic,400,1433
47,flih,29.649981,-82.33270300000001,Innovation Hub,academic,66,432
48,flo,29.650131,-82.343723,Griffin-Floyd Hall,academic,306,1012
49,fpof,29.650470000000002,-82.347275,Florida Pool Offices/Lockers,sports,217,1278
50,fsf,29.648006,-82.350075,Gator Corner Dining Center,social,414,1575
51,ger,29.650745,-82.340119,Gerson Hall,academic,36,103
52,gri,29.649287,-82.342056,Grinter Hall,academic,506,1380
53,harn,29.637031,-82.37024699999999,Harn Museum Of Art,museum,116,815
54,her,29.651103000000003,-82.3486,Heritage Hall,academic,333,1386
55,hgs,29.650422999999996,-82.340748,Hough Hall Business School,unknown,530,5396
56,hol,29.649817,-82.359215,Holland Law Center,academic,608,8578
57,hrb,29.651757,-82.334063,HR Building,admin,200,626
58,hub,29.648251000000002,-82.345586,The Hub,social,308,1097
59,hume,29.644505,-82.35244200000001,Hume Commons,housing,78,374
60,iblc,29.652301,-82.34214200000001,Institute Of Black Culture,social,445,829
61,ihlc,29.652293,-82.341916,Hispanic/Latino Cultures Inst,social,318,538
62,imag,29.637809999999998,-82.36290799999999,Mycology Lab,academic,41,99
63,impl,29.645697,-82.343192,Office Building,admin,98,319
64,inf,29.649513,-82.34650500000001,Infirmary,academic,58,226
65,jen,29.644393,-82.342214,Jennings Hall Office,admin,654,1957
66,lar,29.643124,-82.347321,Larsen Hall,academic,37,183
67,lbw,29.651120000000002,-82.34288000000001,Library West,library,796,9163
68,lit,29.648846000000002,-82.34069699999999,Little Hall,academic,123,538
69,mae,29.64668,-82.34920100000001,Materials Engineering,academic,131,385
70,maec,29.647327,-82.349466,MAE C,academic,326,842
71,mat,29.651649,-82.341016,Matherly Hall,academic,164,548
