prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
aaf,29.650275,-82.34572,Academic Advising Center,admin,0,3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,3,4,2,2,2,2,1,2,3,7,1,6,5,6,5,10,6,13,6,4,2,9,2,6,3,4,0,1,50
adv,29.648792,-82.359303,Martin H. Levin Advocacy Center,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,1,0,1,0,0,2,0,1,0,0,14
aer,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30
aerv,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30
alf,29.642948,-82.348636,Alfred A. Ring Tennis Pavilion,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,29.651573,-82.341939,Anderson Hall,academic,2,2,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,6,4,19,3,5,7,10,9,10,5,10,12,7,11,9,7,8,8,14,7,10,4,5,5,2,1,111
ans,29.631292,-82.351768,Animal Science,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ansc,29.631292,-82.351768,Animal Science Building C,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
apl,29.646905,-82.343942,Aquatic Products Lab,academic,2,1,5,0,0,1,1,0,1,0,0,0,1,0,3,0,2,1,5,2,12,3,11,6,14,5,15,8,15,11,8,11,17,10,18,15,24,20,24,19,23,25,6,18,5,13,3,2,170
arch,29.647656,-82.341748,School of Architecture,academic,3,2,4,1,0,2,1,1,0,2,0,0,3,0,0,0,1,2,7,3,7,6,5,11,9,15,15,8,12,14,12,19,13,11,12,16,10,10,9,14,15,11,10,4,14,7,4,2,111
aud,29.648887,-82.342909,University Auditorium,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,2,0,0,1,1,16
bar,29.643915,-82.344403,Bartram Hall,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
barB,29.643915,-82.344403,Bartram Hall,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
bcf,29.639509,-82.359952,BioContainment Facility,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcftr,29.639518,-82.359949,Bio-Containment Facility,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ben,29.647961,-82.351393,Tolbert Hall,housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,1,3,1,1,2,1,1,2,0,1,1,1,1,1,1,1,0,0,22
bgh,29.649216,-82.359055,Bruton-Geer Hall,admin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,1,1,1,1,1,3,1,0,2,2,3,3,3,3,0,0,0,0,2,1,0,3,0,0,0,0,47
blk,29.641892,-82.347876,Black Hall,academic,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2,2,2,1,0,2,2,2,0,0,0,0,1,1,0,0,0,2,0,1,0,0,15
bro,29.646552,-82.342104,Broward Hall,housing,0,3,0,3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,6,2,2,1,2,0,4,8,2,6,3,1,2,4,5,7,7,11,3,12,2,10,6,10,4,4,0,0,0,0,39
broEastOIR,29.646552,-82.342104,Broward Hall,housing,0,3,0,3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,6,2,2,1,2,0,4,8,2,6,3,1,2,4,5,7,7,11,3,12,2,10,6,10,4,4,0,0,0,0,39
broOIR,29.646552,-82.342104,Broward Hall,housing,0,3,0,3,0,0,0,0,0,0,1,0,1,1,0,0,1,0,6,2,2,1,2,0,4,8,2,6,3,1,2,4,5,7,7,11,3,12,2,10,6,10,4,4,0,0,0,0,39
brt,29.648906,-82.345784,Bryant Space Science Center,academic,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,3,1,3,3,9,5,2,4,5,3,9,6,5,5,5,8,9,7,6,4,5,4,2,3,3,2,0,0,70
brtb,29.648906,-82.345784,Bryant Space Science Center,academic,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,3,1,3,3,9,5,2,4,5,3,9,6,5,5,5,8,9,7,6,4,5,4,2,3,3,2,0,0,70
brttr,29.648906,-82.345784,Bryant Space Science Center,academic,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,3,1,3,3,9,5,2,4,5,3,9,6,5,5,5,8,9,7,6,4,5,4,2,3,3,2,0,0,70
bry,29.648906,-82.345784,Bryan Hall,admin,3,2,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,2,3,2,2,6,4,1,2,5,3,4,1,4,2,8,2,3,1,8,1,3,4,8,1,4,2,1,49
bwc,29.645354,-82.347903,UF bookstore,social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bwcbookstore,29.645256,-82.34771,UF Bookstore,social,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,3,3,1,0,0,4,1,1,2,0,1,1,0,1,0,0,0,0,21
bwcg,29.645442,-82.348053,UF Welcome Center,admin,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,1,3,4,3,1,2,0,2,0,2,1,2,0,3,3,9,2,3,2,4,2,5,1,1,0,1,34
bwcp,29.645442,-82.348053,UF Welcome Center,admin,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,1,3,4,3,1,2,0,2,0,2,1,2,0,3,3,9,2,3,2,4,2,5,1,1,0,1,34
bwctr,29.645442,-82.348053,UF Welcome Center,admin,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,1,3,4,3,1,2,0,2,0,2,1,2,0,3,3,9,2,3,2,4,2,5,1,1,0,1,34
car,29.64903,-82.341675,Carleton Auditorium,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,17,18,10,19,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90
carATTIC,29.64903,-82.341675,Carleton Auditorium - Attic,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,5,5,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,41
