prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
aaf,29.650275,-82.34572,Academic Advising Center,admin,0,0,0,0,0,0,0,0,0,0,0,0,6,1,15,15,23,27,26,27,42,49,49,43,50,35,29,41,29,27,22,20,24,31,24,17,16,16,18,10,13,11,3,12,4,7,0,1,50
adv,29.648792,-82.359303,Martin H. Levin Advocacy Center,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,7,10,9,7,9,5,12,6,9,8,9,5,9,4,14,3,6,4,3,4,12,2,3,0,1,0,4,1,2,0,0,14
aer,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,17,26,29,28,15,18,21,24,17,14,10,14,30,18,16,17,17,7,5,3,11,2,3,1,0,1,3,3,4,0,0,0,0,30
aerv,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,17,26,29,28,15,18,21,24,17,14,10,14,30,18,16,17,17,7,5,3,11,2,3,1,0,1,3,3,4,0,0,0,0,30
alf,29.642948,-82.348636,Alfred A. Ring Tennis Pavilion,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,29.651573,-82.341939,Anderson Hall,academic,4,1,0,4,1,1,1,2,1,2,1,0,6,3,20,27,51,36,60,62,85,78,90,85,111,72,66,67,43,39,44,30,44,33,29,30,18,17,20,23,29,20,22,20,18,11,2,1,111
ans,29.631292,-82.351768,Animal Science,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,3,3,7,2,7,16,4,16,1,3,3,7,2,6,1,5,3,1,0,4,2,3,0,1,0,0,0,0,0,0,0,0,0,19
ansc,29.631292,-82.351768,Animal Science Building C,unknown,0,0,0,0,0,0,0,0,0,0,0,0,8,1,6,9,4,4,5,3,6,9,0,10,1,2,1,4,0,3,3,6,2,2,2,2,1,3,0,1,0,0,0,0,0,0,0,0,10
apl,29.646905,-82.343942,Aquatic Products Lab,academic,3,11,1,2,0,2,0,3,1,2,2,2,25,12,145,21,158,48,127,78,108,136,117,130,69,170,70,167,68,170,60,164,56,116,69,85,53,64,37,65,36,41,18,58,14,37,3,2,170
arch,29.647656,-82.341748,School of Architecture,academic,9,4,5,2,2,1,4,1,0,0,2,0,7,16,36,22,48,37,52,69,67,43,86,62,72,83,55,77,47,53,36,47,56,31,44,40,47,26,35,37,33,111,50,48,91,14,4,2,111
aud,29.648887,-82.342909,University Auditorium,academic,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,3,3,9,7,5,8,9,5,6,14,7,9,9,16,6,7,5,4,4,8,7,12,8,1,2,0,0,3,1,0,1,1,16
bar,29.643915,-82.344403,Bartram Hall,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,5,4,4,3,3,9,6,7,2,9,4,2,10,6,1,10,5,11,0,1,5,1,0,5,0,0,0,0,0,0,0,11
barB,29.643915,-82.344403,Bartram Hall,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,5,4,4,3,3,9,6,7,2,9,4,2,10,6,1,10,5,11,0,1,5,1,0,5,0,0,0,0,0,0,0,11
bcf,29.639509,-82.359952,BioContainment Facility,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcftr,29.639518,-82.359949,Bio-Containment Facility,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ben,29.647961,-82.351393,Tolbert Hall,housing,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,3,15,9,17,13,12,11,22,20,9,12,10,13,15,22,14,11,13,10,7,8,6,3,3,4,2,0,2,2,0,2,0,0,22
bgh,29.649216,-82.359055,Bruton-Geer Hall,admin,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,7,10,18,30,18,26,38,47,23,33,32,27,24,25,31,24,14,26,22,6,9,18,7,8,5,4,2,0,2,1,3,0,0,47
blk,29.641892,-82.347876,Black Hall,academic,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,1,3,2,3,4,7,7,5,15,14,14,12,6,5,7,9,10,8,7,4,5,4,4,1,4,2,2,1,3,2,5,0,0,15
bro,29.646552,-82.342104,Broward Hall,housing,0,1,0,4,0,1,0,2,1,2,4,1,11,4,21,4,39,11,21,27,34,32,27,37,21,30,16,34,17,33,6,19,10,24,13,20,10,13,13,14,8,6,7,14,5,6,0,0,39
