prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
aaf,29.650275,-82.34572,Academic Advising Center,admin,1,1,1,2,0,0,0,0,1,1,2,0,1,3,22,15,11,21,31,46,42,55,49,52,44,33,39,40,20,29,24,29,14,26,24,32,15,20,22,16,25,10,2,14,3,10,0,1,50
adv,29.648792,-82.359303,Martin H. Levin Advocacy Center,academic,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,6,6,1,14,1,11,9,10,7,7,10,11,4,4,4,9,3,22,7,2,1,6,0,6,0,0,4,3,0,1,0,0,14
aer,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,7,8,5,18,22,10,7,18,12,8,22,34,14,15,13,11,12,5,3,10,3,5,0,1,1,1,3,0,0,0,0,2,30
aerv,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,7,8,5,18,22,10,7,18,12,8,22,34,14,15,13,11,12,5,3,10,3,5,0,1,1,1,3,0,0,0,0,2,30
alf,29.642948,-82.348636,Alfred A. Ring Tennis Pavilion,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,29.651573,-82.341939,Anderson Hall,academic,13,5,7,0,2,1,0,0,1,1,1,0,2,1,36,41,31,15,85,71,88,85,53,42,98,76,75,72,37,43,39,52,34,48,35,33,29,23,29,19,22,16,11,8,7,9,4,7,111
ans,29.631292,-82.351768,Animal Science,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,4,3,5,5,6,8,9,2,5,12,6,9,10,16,6,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,19
ansc,29.631292,-82.351768,Animal Science Building C,unknown,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,3,4,4,6,4,5,10,1,1,3,10,2,4,1,10,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10
apl,29.646905,-82.343942,Aquatic Products Lab,academic,7,12,3,6,1,2,0,1,1,1,3,2,23,3,152,10,136,51,154,91,130,130,83,105,101,154,55,187,82,143,58,196,67,124,60,122,58,78,35,74,26,81,19,40,14,16,8,27,170
arch,29.647656,-82.341748,School of Architecture,academic,9,5,10,9,1,3,3,1,2,0,0,1,13,6,22,19,27,19,41,44,80,53,41,65,76,59,82,82,59,49,45,59,51,41,45,48,38,48,34,38,40,39,28,22,12,13,11,15,111
aud,29.648887,-82.342909,University Auditorium,academic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,5,4,5,8,10,11,10,20,7,7,21,2,3,7,5,5,6,11,5,19,15,5,2,3,4,0,0,1,0,2,16
bar,29.643915,-82.344403,Bartram Hall,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,4,2,13,11,3,8,11,18,25,3,9,17,14,6,6,2,13,2,2,3,4,0,4,0,0,0,0,0,0,1,11
barB,29.643915,-82.344403,Bartram Hall,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,4,2,13,11,3,8,11,18,25,3,9,17,14,6,6,2,13,2,2,3,4,0,4,0,0,0,0,0,0,1,11
bcf,29.639509,-82.359952,BioContainment Facility,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcftr,29.639518,-82.359949,Bio-Containment Facility,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ben,29.647961,-82.351393,Tolbert Hall,housing,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,6,8,16,13,17,10,10,12,16,11,20,9,13,13,13,7,13,4,6,2,2,1,1,3,3,2,2,2,0,1,0,22
bgh,29.649216,-82.359055,Bruton-Geer Hall,admin,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,8,14,23,21,19,22,23,26,43,24,21,25,21,18,28,10,11,12,10,4,6,7,6,3,6,3,6,3,3,0,4,0,0,47
blk,29.641892,-82.347876,Black Hall,academic,0,1,0,0,1,1,1,1,0,1,1,1,3,3,2,7,4,4,8,8,3,7,9,15,12,14,5,9,6,5,18,2,2,6,4,10,2,2,3,1,0,1,2,1,0,2,0,2,15
bro,29.646552,-82.342104,Broward Hall,housing,0,7,1,4,0,1,0,0,0,0,0,0,3,2,12,4,24,14,17,18,31,22,32,27,21,20,24,35,15,17,15,45,11,20,13,25,22,17,17,21,7,9,7,5,2,6,1,3,39
broEastOIR,29.646552,-82.342104,Broward Hall,housing,0,7,1,4,0,1,0,0,0,0,0,0,3,2,12,4,24,14,17,18,31,22,32,27,21,20,24,35,15,17,15,45,11,20,13,25,22,17,17,21,7,9,7,5,2,6,1,3,39
broOIR,29.646552,-82.342104,Broward Hall,housing,0,7,1,4,0,1,0,0,0,0,0,0,3,2,12,4,24,14,17,18,31,22,32,27,21,20,24,35,15,17,15,45,11,20,13,25,22,17,17,21,7,9,7,5,2,6,1,3,39
brt,29.648906,-82.345784,Bryant Space Science Center,academic,3,8,1,1,0,0,1,1,0,1,2,1,7,6,34,15,21,25,48,37,46,41,50,63,53,55,47,53,30,46,33,50,35,41,37,24,35,18,13,9,9,15,15,7,8,7,3,6,70
brtb,29.648906,-82.345784,Bryant Space Science Center,academic,3,8,1,1,0,0,1,1,0,1,2,1,7,6,34,15,21,25,48,37,46,41,50,63,53,55,47,53,30,46,33,50,35,41,37,24,35,18,13,9,9,15,15,7,8,7,3,6,70
brttr,29.648906,-82.345784,Bryant Space Science Center,academic,3,8,1,1,0,0,1,1,0,1,2,1,7,6,34,15,21,25,48,37,46,41,50,63,53,55,47,53,30,46,33,50,35,41,37,24,35,18,13,9,9,15,15,7,8,7,3,6,70
bry,29.648906,-82.345784,Bryan Hall,admin,2,10,1,6,0,1,2,1,0,2,2,1,3,7,12,10,18,23,30,33,32,42,35,38,30,45,20,40,26,40,35,27,13,22,16,17,8,17,7,12,6,16,3,10,1,4,1,5,49
bwc,29.645354,-82.347903,UF bookstore,social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bwcbookstore,29.645256,-82.34771,UF Bookstore,social,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,2,5,1,10,14,12,23,17,13,10,14,14,12,14,14,13,7,13,6,13,7,6,6,4,16,2,10,5,11,1,2,0,6,21
bwcg,29.645442,-82.348053,UF Welcome Center,admin,0,5,0,0,0,0,0,0,0,0,0,0,4,1,17,7,15,7,16,22,18,25,12,28,28,24,26,20,19,25,15,34,23,37,11,18,7,9,3,13,2,9,7,10,1,5,2,1,34
bwcp,29.645442,-82.348053,UF Welcome Center,admin,0,5,0,0,0,0,0,0,0,0,0,0,4,1,17,7,15,7,16,22,18,25,12,28,28,24,26,20,19,25,15,34,23,37,11,18,7,9,3,13,2,9,7,10,1,5,2,1,34
bwctr,29.645442,-82.348053,UF Welcome Center,admin,0,5,0,0,0,0,0,0,0,0,0,0,4,1,17,7,15,7,16,22,18,25,12,28,28,24,26,20,19,25,15,34,23,37,11,18,7,9,3,13,2,9,7,10,1,5,2,1,34
car,29.64903,-82.341675,Carleton Auditorium,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,3,18,19,26,3,1,3,9,89,103,26,15,3,1,18,17,39,48,4,3,31,9,60,54,15,13,0,0,1,0,0,90
carATTIC,29.64903,-82.341675,Carleton Auditorium - Attic,academic,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,5,4,5,12,10,13,6,7,18,36,41,15,8,6,10,13,8,12,14,5,3,8,9,6,22,7,10,1,1,1,1,0,41
cbd,29.652971,-82.342913,Classroom Building 105,academic,1,1,4,2,0,1,0,0,0,0,0,0,1,0,8,10,11,16,21,16,25,27,15,16,31,26,24,17,13,16,5,7,5,16,8,4,9,11,2,1,4,3,3,4,1,6,1,1,38
cenx,29.643928,-82.343066,Centrex Building,police,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2
che,29.64272,-82.347873,Dept. of Chemical Engineering,academic,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,3,13,16,17,16,7,15,13,14,23,33,20,16,18,20,7,10,7,12,4,4,2,2,1,2,0,1,2,0,0,2,1,29
clb,29.650947,-82.344073,Chemistry Lab,academic,4,5,1,3,1,2,0,1,0,2,0,0,3,2,13,27,15,20,30,33,45,34,29,33,17,37,24,44,26,28,18,35,25,30,19,19,17,18,11,17,15,10,9,7,3,4,1,10,96
con,29.64635,-82.346664,Constans Theatre,social,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,12,12,11,17,38,20,25,38,40,33,43,21,26,14,30,30,34,26,29,17,24,13,9,9,7,6,5,9,6,1,2,0,2,47
conG,29.64635,-82.346664,Constans Theatre,social,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,12,12,11,17,38,20,25,38,40,33,43,21,26,14,30,30,34,26,29,17,24,13,9,9,7,6,5,9,6,1,2,0,2,47
crec,29.639071,-82.368803,Center for Outdoor Rec. & Educ.,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crecxxxrxx,29.639071,-82.368803,Center for Outdoor Rec. & Educ.,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cris,29.65013,-82.341602,Criser Hall,admin,0,0,0,1,0,0,0,0,1,0,0,1,0,10,0,8,5,8,9,8,22,16,23,26,32,13,16,16,13,18,17,10,23,9,4,2,7,1,0,5,3,0,3,3,1,0,1,1,31
criv,29.65013,-82.341602,Criser Hall,admin,0,0,0,1,0,0,0,0,1,0,0,1,0,10,0,8,5,8,9,8,22,16,23,26,32,13,16,16,13,18,17,10,23,9,4,2,7,1,0,5,3,0,3,3,1,0,1,1,31
