prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
aaf,29.650275,-82.34572,Academic Advising Center,admin,0,2,0,1,0,0,1,0,1,0,0,0,7,3,8,14,19,21,31,27,48,45,43,42,46,46,45,50,37,38,34,34,36,30,26,22,17,21,19,18,19,18,11,13,2,8,0,2,50
adv,29.648792,-82.359303,Martin H. Levin Advocacy Center,academic,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,4,7,8,5,12,8,12,12,12,6,15,12,5,4,11,0,6,3,9,3,1,1,4,0,5,0,2,0,0,0,1,0,0,14
aer,29.643272,-82.3483,Mec. Aerospace Engineering,academic,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,13,21,24,27,12,18,24,34,17,12,18,9,38,31,9,8,10,2,5,4,5,2,4,4,2,0,0,0,0,0,1,0,0,30
aerv,29.643272,-82.3483,Mec. Aerospace Engineering,academic,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,13,21,24,27,12,18,24,34,17,12,18,9,38,31,9,8,10,2,5,4,5,2,4,4,2,0,0,0,0,0,1,0,0,30
alf,29.642948,-82.348636,Alfred A. Ring Tennis Pavilion,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,29.651573,-82.341939,Anderson Hall,academic,1,3,5,2,0,1,0,1,2,0,1,2,2,2,23,26,58,39,60,56,72,83,96,83,100,73,80,82,52,43,39,53,35,33,29,34,42,27,28,22,16,14,14,16,7,12,12,5,111
ans,29.631292,-82.351768,Animal Science,academic,0,0,0,0,0,0,0,0,0,0,0,0,2,8,11,4,4,13,6,12,16,15,10,0,4,5,10,4,3,2,5,1,5,3,5,0,0,0,1,1,0,0,0,0,0,0,0,0,19
ansc,29.631292,-82.351768,Animal Science Building C,unknown,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,5,1,8,4,4,11,0,6,4,3,3,8,0,1,1,5,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,10
apl,29.646905,-82.343942,Aquatic Products Lab,academic,1,11,0,2,1,5,1,1,1,0,2,2,41,10,143,15,146,46,167,88,96,127,120,152,77,154,75,163,60,175,61,172,64,159,59,108,38,80,31,51,27,66,24,40,16,26,6,25,170
arch,29.647656,-82.341748,School of Architecture,academic,11,6,9,10,1,3,6,3,5,3,9,2,17,10,38,25,52,30,59,56,82,62,102,83,79,71,68,67,58,56,65,44,68,52,32,46,35,46,44,32,28,34,17,21,11,6,12,11,111
aud,29.648887,-82.342909,University Auditorium,academic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,6,6,11,9,6,10,16,9,12,7,9,12,17,16,12,9,21,11,10,5,7,1,1,3,1,1,2,0,1,0,0,0,16
bar,29.643915,-82.344403,Bartram Hall,academic,1,1,0,1,1,1,1,1,0,0,0,1,2,1,2,9,12,18,5,8,19,6,14,16,8,7,10,6,9,5,6,5,3,4,4,5,4,0,3,2,0,0,0,0,0,0,0,0,11
barB,29.643915,-82.344403,Bartram Hall,academic,1,1,0,1,1,1,1,1,0,0,0,1,2,1,2,9,12,18,5,8,19,6,14,16,8,7,10,6,9,5,6,5,3,4,4,5,4,0,3,2,0,0,0,0,0,0,0,0,11
bcf,29.639509,-82.359952,BioContainment Facility,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcftr,29.639518,-82.359949,Bio-Containment Facility,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
ben,29.647961,-82.351393,Tolbert Hall,housing,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4,3,15,6,10,12,10,10,21,18,12,24,8,10,10,26,8,11,11,11,6,4,5,4,8,10,3,1,0,1,1,2,0,0,22
bgh,29.649216,-82.359055,Bruton-Geer Hall,admin,0,1,1,0,0,0,0,0,0,0,0,0,1,1,15,4,19,22,32,24,19,31,34,35,22,26,25,20,21,24,12,5,14,8,10,9,5,6,4,4,4,4,2,2,0,1,0,0,47
blk,29.641892,-82.347876,Black Hall,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,3,8,7,16,14,17,14,9,9,6,10,5,5,12,6,6,1,7,7,1,5,1,2,5,3,2,1,2,0,1,15
bro,29.646552,-82.342104,Broward Hall,housing,2,5,0,1,1,4,0,1,0,2,0,0,5,0,20,2,19,12,18,32,44,29,27,39,23,34,29,39,21,29,18,33,17,30,14,29,16,26,9,13,14,7,9,11,4,6,1,5,39
broEastOIR,29.646552,-82.342104,Broward Hall,housing,2,5,0,1,1,4,0,1,0,2,0,0,5,0,20,2,19,12,18,32,44,29,27,39,23,34,29,39,21,29,18,33,17,30,14,29,16,26,9,13,14,7,9,11,4,6,1,5,39
broOIR,29.646552,-82.342104,Broward Hall,housing,2,5,0,1,1,4,0,1,0,2,0,0,5,0,20,2,19,12,18,32,44,29,27,39,23,34,29,39,21,29,18,33,17,30,14,29,16,26,9,13,14,7,9,11,4,6,1,5,39
brt,29.648906,-82.345784,Bryant Space Science Center,academic,1,3,0,0,1,2,0,0,0,0,1,0,6,3,20,11,31,23,55,54,51,52,58,56,49,54,68,51,45,64,47,40,39,36,41,33,22,20,14,12,12,9,6,9,6,8,5,2,70
brtb,29.648906,-82.345784,Bryant Space Science Center,academic,1,3,0,0,1,2,0,0,0,0,1,0,6,3,20,11,31,23,55,54,51,52,58,56,49,54,68,51,45,64,47,40,39,36,41,33,22,20,14,12,12,9,6,9,6,8,5,2,70
brttr,29.648906,-82.345784,Bryant Space Science Center,academic,1,3,0,0,1,2,0,0,0,0,1,0,6,3,20,11,31,23,55,54,51,52,58,56,49,54,68,51,45,64,47,40,39,36,41,33,22,20,14,12,12,9,6,9,6,8,5,2,70
bry,29.648906,-82.345784,Bryan Hall,admin,2,4,0,2,2,2,0,0,0,0,0,1,2,4,6,6,17,20,31,38,34,41,37,36,46,61,37,38,41,30,18,42,26,27,9,24,14,17,6,14,6,12,5,12,5,10,2,5,49
bwc,29.645354,-82.347903,UF bookstore,social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bwcbookstore,29.645256,-82.34771,UF Bookstore,social,0,3,0,0,0,0,0,0,0,0,2,0,2,3,7,3,8,5,7,9,12,12,14,17,8,16,16,11,21,12,14,15,14,18,14,10,10,9,2,10,6,7,2,9,2,3,1,1,21
bwcg,29.645442,-82.348053,UF Welcome Center,admin,0,0,0,1,0,0,0,1,0,0,0,0,1,5,15,5,12,15,15,16,12,17,10,30,17,32,14,24,12,24,20,27,15,18,23,15,16,17,6,15,5,3,1,16,0,8,0,5,34
bwcp,29.645442,-82.348053,UF Welcome Center,admin,0,0,0,1,0,0,0,1,0,0,0,0,1,5,15,5,12,15,15,16,12,17,10,30,17,32,14,24,12,24,20,27,15,18,23,15,16,17,6,15,5,3,1,16,0,8,0,5,34
bwctr,29.645442,-82.348053,UF Welcome Center,admin,0,0,0,1,0,0,0,1,0,0,0,0,1,5,15,5,12,15,15,16,12,17,10,30,17,32,14,24,12,24,20,27,15,18,23,15,16,17,6,15,5,3,1,16,0,8,0,5,34
car,29.64903,-82.341675,Carleton Auditorium,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,24,27,32,0,7,77,76,56,77,60,53,30,30,19,26,3,1,2,3,2,2,7,4,21,11,0,14,0,0,0,0,0,90
carATTIC,29.64903,-82.341675,Carleton Auditorium - Attic,academic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,8,11,8,17,10,10,35,42,24,35,24,30,16,12,19,6,6,4,4,6,4,6,3,3,5,5,0,0,0,0,0,0,0,41
cbd,29.652971,-82.342913,Classroom Building 105,academic,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,19,15,22,32,31,45,18,19,26,40,25,17,25,16,9,7,14,9,16,14,7,8,7,4,7,5,5,1,1,0,0,0,2,38
