prefix,lat,lon,name,category,in_h1,out_h1,in_h2,out_h2,in_h3,out_h3,in_h4,out_h4,in_h5,out_h5,in_h6,out_h6,in_h7,out_h7,in_h8,out_h8,in_h9,out_h9,in_h10,out_h10,in_h11,out_h11,in_h12,out_h12,in_h13,out_h13,in_h14,out_h14,in_h15,out_h15,in_h16,out_h16,in_h17,out_h17,in_h18,out_h18,in_h19,out_h19,in_h20,out_h20,in_h21,out_h21,in_h22,out_h22,in_h23,out_h23,in_h24,out_h24,cap
aaf,29.650275,-82.34572,Academic Advising Center,admin,2,1,1,1,1,0,0,0,1,0,0,1,4,3,16,9,23,31,32,31,28,35,42,33,36,30,32,24,23,21,18,21,10,16,11,14,10,7,3,7,2,7,5,7,2,8,3,9,50
adv,29.648792,-82.359303,Martin H. Levin Advocacy Center,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,5,2,6,4,3,4,6,4,0,6,3,6,1,4,1,10,2,1,0,2,0,0,0,0,0,0,0,0,0,0,14
aer,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8,16,21,18,15,18,27,34,15,8,9,9,30,22,11,11,6,4,3,1,0,0,1,3,5,4,2,0,1,0,0,1,0,30
aerv,29.643272,-82.3483,Mec. Aerospace Engineering,academic,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8,16,21,18,15,18,27,34,15,8,9,9,30,22,11,11,6,4,3,1,0,0,1,3,5,4,2,0,1,0,0,1,0,30
alf,29.642948,-82.348636,Alfred A. Ring Tennis Pavilion,sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,29.651573,-82.341939,Anderson Hall,academic,11,6,8,4,3,2,2,1,1,0,4,2,2,4,20,28,65,41,63,62,85,65,79,68,66,73,78,58,49,36,29,26,19,16,19,23,11,11,12,4,7,10,14,12,14,9,6,7,111
ans,29.631292,-82.351768,Animal Science,academic,0,0,0,0,0,0,0,1,0,0,0,1,1,6,13,2,4,6,3,5,11,14,4,1,20,1,6,2,3,4,3,2,5,6,3,1,5,5,1,1,1,0,0,0,0,0,0,0,19
ansc,29.631292,-82.351768,Animal Science Building C,unknown,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,7,2,1,0,4,5,3,0,5,1,12,3,7,2,1,1,1,2,3,0,1,0,0,2,2,0,0,0,0,0,0,1,1,10
apl,29.646905,-82.343942,Aquatic Products Lab,academic,3,10,3,8,3,5,1,1,2,1,3,6,22,8,126,15,143,52,132,106,107,133,103,132,77,136,59,134,56,138,46,122,50,97,37,41,35,34,12,18,16,38,16,19,11,18,7,6,170
arch,29.647656,-82.341748,School of Architecture,academic,4,6,11,7,9,5,5,0,3,0,2,3,7,6,29,27,36,31,54,42,63,60,66,63,67,66,54,66,35,48,51,21,43,22,20,16,19,16,13,11,15,25,10,13,9,11,11,4,111
aud,29.648887,-82.342909,University Auditorium,academic,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,4,6,11,16,9,15,15,9,15,11,7,7,6,7,6,6,2,6,4,8,2,35,7,1,36,0,1,1,2,1,0,0,16
bar,29.643915,-82.344403,Bartram Hall,academic,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,4,6,5,3,5,13,6,8,11,10,4,5,5,7,8,9,2,4,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,11
barB,29.643915,-82.344403,Bartram Hall,academic,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,4,6,5,3,5,13,6,8,11,10,4,5,5,7,8,9,2,4,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,11
bcf,29.639509,-82.359952,BioContainment Facility,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcftr,29.639518,-82.359949,Bio-Containment Facility,academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ben,29.647961,-82.351393,Tolbert Hall,housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,12,13,20,13,12,12,18,11,8,15,8,10,9,18,15,13,5,8,3,1,2,0,1,1,1,3,0,1,0,0,0,2,22
bgh,29.649216,-82.359055,Bruton-Geer Hall,admin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,5,5,5,11,11,13,14,8,11,14,13,12,8,12,6,6,1,2,0,7,5,2,0,3,2,0,0,0,1,47
blk,29.641892,-82.347876,Black Hall,academic,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,3,5,3,4,6,7,11,8,7,4,9,2,8,5,7,11,4,7,3,1,0,1,1,1,2,0,0,0,1,0,0,0,0,15
bro,29.646552,-82.342104,Broward Hall,housing,1,6,1,5,1,4,0,1,0,0,1,0,4,4,11,4,28,14,26,19,24,28,34,40,25,34,21,30,25,12,10,14,17,25,13,14,9,11,5,11,3,14,12,7,5,5,1,6,39
broEastOIR,29.646552,-82.342104,Broward Hall,housing,1,6,1,5,1,4,0,1,0,0,1,0,4,4,11,4,28,14,26,19,24,28,34,40,25,34,21,30,25,12,10,14,17,25,13,14,9,11,5,11,3,14,12,7,5,5,1,6,39
broOIR,29.646552,-82.342104,Broward Hall,housing,1,6,1,5,1,4,0,1,0,0,1,0,4,4,11,4,28,14,26,19,24,28,34,40,25,34,21,30,25,12,10,14,17,25,13,14,9,11,5,11,3,14,12,7,5,5,1,6,39
